Local,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface of plot of land,Numbers of facades,Swimming pool,State of building
Amay,House,None,"€69,000",None,2,110m²squaremeters,Yes,Yes,No,No,No,110m²squaremeters,75m²squaremeters,2,No,Torenovate
Berlaar,Verkaveling,None,"€105,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Berloz,Maisons,None,"€108,535",None,None,None,No,No,No,No,No,None,None,None,No,None
Comblain-au-Pont,House,None,"€110,000",None,2,69m²squaremeters,Yes,Yes,No,No,No,69m²squaremeters,144m²squaremeters,2,No,Torenovate
Liege,Town-house,None,"€130,000",None,2,129m²squaremeters,Yes,Yes,No,No,No,129m²squaremeters,91m²squaremeters,2,No,Torenovate
Arbrefontaine,House,None,"€135,000",None,3,124m²squaremeters,Yes,No,No,Yes,No,124m²squaremeters,203m²squaremeters,3,No,Tobedoneup
Ronse,House,None,"€139,000",None,2,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,50m²squaremeters,2,No,Good
Meix-devant-Virton,House,None,"€140,000",None,4,254m²squaremeters,Yes,Yes,No,Yes,No,254m²squaremeters,896m²squaremeters,2,No,Torenovate
Hermalle-sous-Huy,House,None,Make,None,3,108m²squaremeters,Yes,Yes,No,No,No,108m²squaremeters,156m²squaremeters,3,No,Torestore
Liège,House,None,Make,None,4,165m²squaremeters,Yes,Yes,No,No,No,165m²squaremeters,183m²squaremeters,3,No,Torenovate
Ivoz-Ramet,House,None,Make,None,3,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,70m²squaremeters,3,Yes,Good
Saint-Georges-sur-Meuse,House,None,Make,None,3,107m²squaremeters,Yes,Yes,No,No,No,107m²squaremeters,1222m²squaremeters,3,No,Torenovate
Virton,House,None,"€169,000",None,3,144m²squaremeters,Yes,Yes,No,No,No,144m²squaremeters,529m²squaremeters,2,No,Good
Montegnée,House,None,"€179,000",None,4,87m²squaremeters,Yes,Yes,No,No,No,87m²squaremeters,73m²squaremeters,2,No,Good
Hermalle-sous-Huy,House,None,"€180,000",None,3,167m²squaremeters,Yes,Yes,No,No,No,167m²squaremeters,224m²squaremeters,3,Yes,Good
Ensival,House,None,"€180,000",None,5,200m²squaremeters,Yes,Yes,No,No,No,200m²squaremeters,215m²squaremeters,2,No,Good
Huy,House,None,Make,None,3,140m²squaremeters,Yes,Yes,No,No,No,140m²squaremeters,111m²squaremeters,3,Yes,Good
Musson,House,None,"€189,000",None,4,265m²squaremeters,Yes,Yes,No,No,No,265m²squaremeters,290m²squaremeters,3,No,Torenovate
Ronse,House,None,"€189,990",None,3,162m²squaremeters,Yes,Yes,No,No,No,162m²squaremeters,94m²squaremeters,2,No,Justrenovated
Herstal,House,None,Make,None,2,128m²squaremeters,Yes,Yes,No,No,No,128m²squaremeters,905m²squaremeters,4,No,Justrenovated
Villeen-Hesbaye,House,None,"€200,000",None,2,90m²squaremeters,Yes,Yes,No,No,No,90m²squaremeters,1528m²squaremeters,4,No,Torenovate
|,Leuze,None,"€203,692",None,None,None,No,No,No,No,No,None,None,None,No,None
Aywaille,Mixed-use,None,"€209,000",None,5,208m²squaremeters,Yes,Yes,No,No,No,208m²squaremeters,209m²squaremeters,3,No,Torenovate
Aywaille,House,None,"€209,000",None,5,208m²squaremeters,Yes,Yes,No,No,No,208m²squaremeters,209m²squaremeters,3,No,Torenovate
Liege,House,None,"€220,000",None,4,185m²squaremeters,Yes,Yes,No,No,No,185m²squaremeters,470m²squaremeters,2,Yes,Tobedoneup
Liege,Apartment,None,"€220,000",None,3,185m²squaremeters,Yes,Yes,No,No,No,185m²squaremeters,470m²squaremeters,2,Yes,Tobedoneup
Ronse,House,None,"€225,000",None,4,173m²squaremeters,Yes,Yes,No,No,No,173m²squaremeters,190m²squaremeters,2,No,Asnew
Molenbeek-Saint-Jean,House,None,"€230,000",None,8,270m²squaremeters,Yes,Yes,No,No,No,270m²squaremeters,76m²squaremeters,2,No,Torestore
Ronse,House,None,"€235,000",None,4,172m²squaremeters,Yes,Yes,No,No,No,172m²squaremeters,196m²squaremeters,2,No,Asnew
|,VELDHOEVE,None,"€243,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Wavre,House,None,Make,None,3,110m²squaremeters,Yes,Yes,No,No,No,110m²squaremeters,140m²squaremeters,2,No,Good
Braine-l'Alleud,House,None,Make,None,2,97m²squaremeters,Yes,Yes,No,No,No,97m²squaremeters,323m²squaremeters,3,No,Good
Libin,Maisons,None,"€249,900",None,None,None,No,No,No,No,No,None,None,None,No,None
Jemeppe-sur-Meuse,House,None,"€250,000",None,4,172m²squaremeters,Yes,Yes,No,No,No,172m²squaremeters,603m²squaremeters,3,No,Good
HÉLÉCINE,Woningen,None,"€251,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Neufchateau-Massul,Maisons,None,"€259,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Soy,House,None,"€259,000",None,4,132m²squaremeters,Yes,Yes,No,No,No,132m²squaremeters,700m²squaremeters,4,No,Justrenovated
APPELS,House,None,"€259,000",None,3,158m²squaremeters,Yes,Yes,No,No,Yes,158m²squaremeters,518m²squaremeters,3,No,Tobedoneup
Rochefort,Clos,None,"€260,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Geel,Woonerf,None,"€264,252",None,None,None,No,No,No,No,No,None,None,None,No,None
Beveren-Leie,Gezellige,None,"€269,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Ronse,Town-house,None,"€269,000",None,3,212m²squaremeters,Yes,Yes,No,No,No,212m²squaremeters,180m²squaremeters,2,No,Good
Arendonk,Hertevelden,None,"€274,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Anderlecht,House,None,"€275,000",None,4,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,74m²squaremeters,2,No,Torenovate
Mellery,House,None,Make,None,3,120m²squaremeters,Yes,Yes,No,Yes,No,120m²squaremeters,1029m²squaremeters,3,No,Torenovate
Tienen,House,None,"€275,000",None,3,112m²squaremeters,Yes,Yes,No,No,No,112m²squaremeters,195m²squaremeters,2,No,Justrenovated
|,Seneffe,None,"€278,511",None,None,None,No,No,No,No,No,None,None,None,No,None
Comblain-au-Pont,House,None,"€280,000",None,3,240m²squaremeters,Yes,Yes,No,No,No,240m²squaremeters,695m²squaremeters,2,No,Good
Engis,House,None,"€280,000",None,4,131m²squaremeters,Yes,Yes,No,No,No,131m²squaremeters,696m²squaremeters,4,No,Good
Gistel,New,None,"€280,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Herstal,House,None,Make,None,4,210m²squaremeters,Yes,Yes,No,Yes,No,210m²squaremeters,485m²squaremeters,3,Yes,Asnew
|,New,None,"€285,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Zwijnaarde,New,None,"€285,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Averbode,Woningen,None,"€286,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Mechelen,New,None,"€288,500",None,None,None,No,No,No,No,No,None,None,None,No,None
|,Quartier,None,"€295,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Meerhout,Woonproject,None,"€296,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Onze-Lieve-Vrouw-Lombeek,De,None,"€298,404",None,None,None,No,No,No,No,No,None,None,None,No,None
|,L'Orée,None,"€299,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Perwez,L'OREE,None,"€299,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Genappe,House,None,Make,None,3,117m²squaremeters,Yes,Yes,No,No,No,117m²squaremeters,520m²squaremeters,3,No,Justrenovated
Scherpenheuvel-Zichem,Woningen,None,"€299,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Landen,House,None,"€299,000",None,4,200m²squaremeters,Yes,Yes,No,Yes,No,200m²squaremeters,5084m²squaremeters,4,No,Torenovate
BAS-OHA,House,None,Make,None,5,196m²squaremeters,Yes,Yes,No,No,No,196m²squaremeters,12750m²squaremeters,4,No,Good
Rotheux-Rimière,House,None,"€310,000",None,3,108m²squaremeters,Yes,Yes,No,No,No,108m²squaremeters,2815m²squaremeters,4,No,Tobedoneup
Jodoigne,Stellar,None,"€310,500",None,None,None,No,No,No,No,No,None,None,None,No,None
Boom,Pachterslei,None,"€310,700",None,None,None,No,No,No,No,No,None,None,None,No,None
Mechelen,House,None,"€313,210",None,4,252m²squaremeters,Yes,No,No,No,No,252m²squaremeters,250m²squaremeters,2,No,Torenovate
SINT-AMANDS,SINJAN,None,"€315,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Antwerp,New,None,"€316,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Ronse,Villa,None,"€320,000",None,4,205m²squaremeters,Yes,Yes,No,No,No,205m²squaremeters,2565m²squaremeters,4,No,Torenovate
Aywaille,THIER,None,"€324,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Céroux-Mousty,House,None,"€325,000",None,3,127m²squaremeters,Yes,Yes,No,No,No,127m²squaremeters,712m²squaremeters,4,No,Tobedoneup
Berlaar,Hof,None,"€325,000",None,None,None,No,No,No,No,No,None,None,None,No,None
